"pattern_id","pattern_name","liujing","symptom_list","pulse_list","tongue_list","jianjia_list","clause"
"fj:MaHuangFuZiXiXinTang_JinKui","麻黄附子细辛汤证（金匮）","lj:Shaoyin_Instance","zz:FaRe","mx:Pulse_Chen","","","【金匮6-16】"
"fj:DaHuangZheChongWan","大黄䗪虫丸证","lj:Jueyin_Instance","zz:JiFuJiaCuo,zz:LiangMuAnHei","","","","【金匮6-18】"
"fj:SheGanMaHuangTang","射干麻黄汤证","lj:Taiyang_Instance","KeNiShangQi,HouZhongShuiJiSheng","","","","【金匮7-6】"
"fj:ZaoJiaoWan","皂荚丸证","lj:Taiyang_Instance","KeNiShangQi,ShiShiTuZhuo,DanZuoBuDeMian","","","","【金匮7-7】"
"fj:HouPoMaHuangTang","厚朴麻黄汤证","lj:Taiyang_Instance","zz:Ke","mx:Pulse_Fu","","","【金匮7-8】"
"fj:ZeQiTang","泽漆汤证","lj:Taiyin_Instance","zz:Ke","mx:Pulse_Chen","","","【金匮7-9】"
"fj:MaiMenDongTang","麦门冬汤证","lj:Yangming_Instance","DaNiShangQi,YanHouBuLi","","","","【金匮7-10】"
"fj:QianJinWeiJingTang","葶苈大枣泻肺汤证","lj:Taiyang_Instance","FeiYong,TuNongRuMiZhou","","","","【金匮7-11】"
"fj:YueBiJiaBanXiaTang","越婢加半夏汤证","lj:Taiyang_Instance","FeiZhang,MuRuTuoZhuang","mx:Pulse_Fu, mx:Pulse_Da","","","【金匮7-13】"
"fj:XiaoQingLongJiaShiGaoTang","小青龙加石膏汤证","lj:Taiyang_Instance","FeiZhang,KeErQiChuan","mx:Pulse_Fu","","","【金匮7-14】"
"fj:GanCaoGanJiangTang","甘草干姜汤证","lj:Taiyin_Instance","zz:TuXianMo,zz:BuKe","","","","【金匮7-5】"
"fj:BenQiTang","奔豚汤证","lj:ChongRen","BenQi,QiShangChongXiong,FuTong,WangLaiHanRe","","","","【金匮8-2】"
"fj:GuaLouXieBaiBaiJiuTang","瓜蒌薤白白酒汤证","lj:Taiyin_Instance","XiongBi,ChuanXiKeChuo,XiongBeiTong","mx:Pulse_Chen, mx:Pulse_Chi, mx:Pulse_GuanShangXiaoJinShu","","","【金匮9-3】"
"fj:GuaLouXieBaiBanXiaTang","瓜蒌薤白半夏汤证","lj:Taiyin_Instance","XiongBi,BuDeWo,XinTongCheBei","","","","【金匮9-4】"
"fj:ZhiShiXieBaiGuiZhiTang","枳实薤白桂枝汤证","lj:Taiyin_Instance","XiongBi,XinZhongPi,XiongMan,XieXiaNiQiangXin","","","","【金匮9-5】"
"fj:RenShenTang","人参汤证","lj:Taiyin_Instance","XiongBi,XinZhongPi,XiongMan,XieXiaNiQiangXin","","","","【金匮9-5】"
"fj:FuLingXingRenGanCaoTang","茯苓杏仁甘草汤证","lj:Taiyin_Instance","XiongBi,XiongZhongQiSai,DuanQi","","","","【金匮9-6】"
"fj:JuPiZhiShiShengJiangTang","橘皮枳实生姜汤证","lj:Taiyin_Instance","XiongBi,XiongZhongQiSai,DuanQi","","","","【金匮9-6】"
"fj:YiYiFuZiSan","薏苡附子散证","lj:Taiyin_Instance","XiongBi,ShiHuanShiJi","","","","【金匮9-7】"
"fj:GuiZhiShengJiangZhiShiTang","桂枝生姜枳实汤证","lj:Taiyin_Instance","XiongBi,XinZhongXuanTong","","","","【金匮9-8】"
"fj:WuTouChiShiZhiWan","乌头赤石脂丸证","lj:Taiyin_Instance","XiongTongCheBei,CheBeiTongXiong","","","","【金匮9-9】"
"fj:HouPoQiWuTang","厚朴七物汤证","lj:Yangming_Instance","zz:FuMan,zz:FaRe","mx:Pulse_Fu, mx:Pulse_Shu","","","【金匮10-9】"
"fj:FuZiJingMiTang","附子粳米汤证","lj:Taiyin_Instance","FuZhongQieTong,LeiMing,NiMan,OuTu","","","","【金匮10-10】"
"fj:DaJianZhongTang","大建中汤证","lj:Taiyin_Instance","FuZhongHanTong,OuBuNengShi,FuZhongHan,ShangChongPiQi","","","","【金匮10-14】"
"fj:DaHuangFuZiXiXinTang","大黄附子细辛汤证","lj:Taiyin_Instance","zz:FuMan,zz:XieXiaPianTong,zz:FaWeiRe","mx:Pulse_Xian, mx:Pulse_Jin","","","【金匮10-15】"
"fj:DaWuTouJian_JinKui","大乌头煎证（金匮）","lj:Taiyin_Instance","HanShan,RaoQiErTong,ShouZuJueLeng","","","","【金匮10-17】"
"fj:DangGuiShengJiangYangRouTang_JinKui","当归生姜羊肉汤证（金匮）","lj:Taiyin_Instance","HanShan,FuZhongTong,XieTongLiJi","","","","【金匮10-18】"
"fj:WuTouGuiZhiTang_JinKui","乌头桂枝汤证（金匮）","lj:Taiyin_Instance","HanShan,FuZhongTong,ShouZuBuRen,NiLeng,ShenTiTengTong","","","","【金匮10-19】"
"fj:ZhiZhuSan","蜘蛛散证（金匮）","lj:Jueyin_Instance","GuShan,PianYouDaXiao,ShiYouShangXia","","","","【金匮10-20】"
"fj:ShengJiangBanXiaTang","生姜半夏汤证","lj:Taiyin_Instance","XiongZhongSiChuanBuChuan,SiOuBuOu,SiNiBuNi,XinZhongFenFenRan","","","","【金匮11-11】"
"fj:JuPiTang","橘皮汤证（金匮）","lj:Taiyin_Instance","GanOuNi,ShouZuJue","","","","【金匮11-12】"
"fj:JuPiZhuRuTang","橘皮竹茹汤证（金匮）","lj:Taiyin_Instance","NiNi,Xu","","","","【金匮11-13】"
"fj:XiaoBanXiaTang_ZhuOu","小半夏汤证（金匮诸呕）","lj:Taiyin_Instance","ZhuOu,GuBuDeXia","","","","【金匮11-14】"
"fj:GanJiangBanXiaTang","干姜半夏汤证","lj:Taiyin_Instance","GanOu,TuXianMo","","","","【金匮11-15】"
"fj:FuLingGanCaoTang_JinKui","茯苓甘草汤证（金匮）","lj:Taiyin_Instance","JueErXinXiaJi","","","","【金匮11-16】"
"fj:ZhuFuTang_JinKui","猪肤汤证（金匮）","lj:Shaoyin_Instance","XiaLi,YanTong,XiongMan,XinFan","","","","【金匮11-17】"
"fj:GanCaoXieXinTang_ZhuOu","甘草泻心汤证（金匮诸呕）","lj:Taiyin_Instance","Ou","","","","【金匮11-18】"
"fj:BanXiaXieXinTang_JinKui","半夏泻心汤证（金匮）","lj:Shaoyang_Instance","OuErChangMing,XinXiaPi","","","","【金匮11-19】"
"fj:HuangLianTang_JinKui","黄连汤证（金匮）","lj:Taiyang_Instance","FuTong,YuOu","","","","【金匮11-20】"
"fj:SiNiTang_JinKui","四逆汤证（金匮）","lj:Shaoyin_Instance","OuErMaiRuo,XiaoBianFuLi,ShenWeiRe,JianJue","","","","【金匮11-21】"
"fj:GanJiangHuangQinHuangLianRenShenTang_JinKui","干姜黄芩黄连人参汤证（金匮）","lj:Jueyin_Instance","ShiRuKouJiTu","","","","【金匮11-22】"
"fj:ZeQiTang_ShuiQi","泽漆汤证（水气）","lj:Taiyin_Instance","zz:Ke,zz:ShuiZhong","mx:Pulse_Chen","","","【金匮12-21】"
"fj:MuFangJiTang","木防己汤证","lj:Taiyin_Instance","zz:KeNi,zz:XinXiaPi,zz:MianSeHei","mx:Pulse_Chen, mx:Pulse_Jin","","","【金匮12-24】"
"fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang","木防己去石膏加茯苓芒硝汤证","lj:Taiyin_Instance","zz:KeNi,zz:XinXiaPi,zz:MianSeHei","mx:Pulse_Chen, mx:Pulse_Jin","","","【金匮12-24】"
"fj:ZeXieTang","泽泻汤证","lj:Taiyin_Instance","XinXiaYouZhiYin,zz:TouYun","","","","【金匮12-25】"
"fj:FuLingJianZhongTang","茯苓建中汤证","lj:Taiyin_Instance","XinXiaYin,zz:FuMan","","","","【金匮12-26】"
"fj:GanSuiBanXiaTang","甘遂半夏汤证","lj:Taiyin_Instance","LiuYin,XinXiaJianMan","","","","【金匮12-27】"
"fj:ShiZaoTang_JinKui","十枣汤证（悬饮）","lj:Taiyang_Instance","XuanYin,KeXieYinTong","","","","【金匮12-28】"
"fj:DaQingLongTang_JinKui","大青龙汤证（溢饮）","lj:Taiyang_Instance","YiYin,ShenTiTengZhong","","","","【金匮12-29】"
"fj:XiaoQingLongTang_JinKui","小青龙汤证（溢饮）","lj:Taiyang_Instance","YiYin,ShenTiTengZhong","","","","【金匮12-29】"
"fj:LingGuiZhuGanTang","苓桂术甘汤证","lj:Taiyin_Instance","XinXiaYouTanYin,XiongXieZhiMan,zz:MuXuan","mx:Pulse_Chen, mx:Pulse_Xian","","","【金匮12-30】"
"fj:ZeXieTang_JinKui","泽泻汤证（支饮）","lj:Taiyin_Instance","KuMaoXuan","","","","【金匮12-31】"
"fj:FuLingGanCaoTang_ZhiYin","茯苓甘草汤证（支饮）","lj:Taiyin_Instance","ZhiYin,KeNi","","","","【金匮12-32】"
"fj:HouPoDaHuangTang","厚朴大黄汤证","lj:Yangming_Instance","ZhiYin,XiongMan","","","","【金匮12-33】"
"fj:XuanFuHuaTang","旋覆花汤证","lj:Jueyin_Instance","XiongBi,ChangYuTaQiXiongShang","","","","【金匮12-34】"
"fj:ZiCanTang_JinKui","紫参汤证（金匮）","lj:Jueyin_Instance","ZhiYin,KeNi","","","","【金匮12-35】"
"fj:QianJinWeiJingTang_JinKui","葶苈大枣泻肺汤证（金匮）","lj:Taiyang_Instance","ZhiYin,KeNi","","","","【金匮12-36】"
"fj:XiaoBanXiaTang_JinKui","小半夏汤证（金匮）","lj:Taiyin_Instance","ZhiYin,OuTu,BuKe","","","","【金匮12-37】"
"fj:XiaoBanXiaJiaFuLingTang","小半夏加茯苓汤证","lj:Taiyin_Instance","ZhiYin,KeNi,OuTu","","","","【金匮12-38】"
"fj:FangJiJiaoMuZhuLiDaHuangWan","防己椒目葶苈大黄丸证","lj:Taiyin_Instance","FuMan,KouSheGanZao,ChangJianYouShuiQi","","","","【金匮12-39】"
"fj:XiaoBanXiaJiaFuLingTang_JinKui","小半夏加茯苓汤证（金匮）","lj:Taiyin_Instance","GeJianYouShuiQi,OuTuXuanJi","","","","【金匮12-40】"
"fj:WuLingSan_JinKui","五苓散证（金匮）","lj:Taiyang_Instance","QiXiaJi,TuXianMo,TouXuan","","","","【金匮12-41】"
"fj:GanCaoMaHuangTang","甘草麻黄汤证","lj:Taiyang_Instance","LiShui,ShenMuHuangZhong","mx:Pulse_Chen","","","【金匮14-5】"
"fj:YueBiJiaZhuTang","越婢加术汤证","lj:Taiyang_Instance","LiShui,ShenMuHuangZhong","mx:Pulse_Chen","","","【金匮14-5】"
"fj:FangJiFuLingTang","防己茯苓汤证","lj:Taiyang_Instance","PiShui,SiZhiZhong,PiFuZhongHongHongDong","","","","【金匮14-6】"
"fj:YueBiTang","越婢汤证","lj:Taiyang_Instance","FengShui,zz:EFeng,YiShenXiZhong,zz:BuKe,zz:ZiHanChu,zz:WuDaRe","mx:Pulse_Fu","","","【金匮14-7】"
"fj:YueBiJiaBanXiaTang_JinKui","越婢加半夏汤证（金匮）","lj:Taiyang_Instance","FengShui,zz:EFeng,YiShenXiZhong,zz:BuKe,zz:ZiHanChu,zz:WuDaRe","mx:Pulse_Fu","","","【金匮14-7】"
"fj:FangJiHuangQiTang_JinKui","防己黄芪汤证（水气）","lj:Taiyang_Instance","FengShui,ShenZhong,zz:HanChu,zz:EFeng","mx:Pulse_Fu","","","【金匮14-7】"
"fj:HuangQiGuiZhiWuWuTang","黄芪桂枝五物汤证","lj:Taiyang_Instance","XueBi,ShenTiBuRen,RuFengBi","","","","【金匮6-2】"
"fj:FuLingGanCaoTang_JinKui","茯苓甘草汤证（水气）","lj:Taiyin_Instance","ShuiQi,XiaoBianBuLi,Ke","","","","【金匮14-8】"
"fj:MaHuangFuZiGanCaoTang_JinKui","麻黄附子甘草汤证（水气）","lj:Shaoyin_Instance","ShuiQi,MaiChen","mx:Pulse_Chen","","","【金匮14-9】"
"fj:MaHuangJiaZhuTang_JinKui","麻黄加术汤证（水气）","lj:Taiyang_Instance","ShuiQi,ShenZhong","mx:Pulse_Fu","","","【金匮14-9】"
"fj:YueBiTang_JinKui","越婢汤证（水气）","lj:Taiyang_Instance","FengShui,YiShenXiZhong,zz:HanChu,zz:WuDaRe","mx:Pulse_Fu","","","【金匮14-10】"
"fj:YueBiJiaZhuTang_JinKui","越婢加术汤证（水气）","lj:Taiyang_Instance","LiShui,ShenMuHuangZhong","mx:Pulse_Chen","","","【金匮14-10】"
"fj:GanCaoMaHuangTang_JinKui","甘草麻黄汤证（水气）","lj:Taiyang_Instance","LiShui,ShenMuHuangZhong","mx:Pulse_Chen","","","【金匮14-10】"
"fj:HuangQiShaoYaoGuiZhiTang","黄芪芍药桂枝汤证","lj:Taiyang_Instance","HuangHan,ShenTiZhong,Re,Ke","mx:Pulse_Chen","","","【金匮14-11】"
"fj:GuiZhiJiaHuangQiTang_JinKui","桂枝加黄芪汤证（黄汗）","lj:Taiyang_Instance","HuangHan,YiShangHanChu,YaoKuiChiTong,ShenZhong","","","","【金匮14-12】"
"fj:GuiZhiShaoYaoZhiMuTang_JinKui","桂枝芍药知母汤证（历节）","lj:Jueyin_Instance","ZhiJieTengTong,ShenTiWangLei,JiaoZhongRuTuo,TouXuanDuanQi,YuTu","","","","【金匮5-8】"
"fj:WuTouTang_JinKui","乌头汤证（历节）","lj:Taiyang_Instance","LiJieBuKeQuShen,TengTong","","","","【金匮5-10】"
"fj:GuiZhiLongGuMuLiTang_JinKui","桂枝龙骨牡蛎汤证（虚劳）","lj:Taiyang_Instance","YiJing,MengJiao","mx:Pulse_Xu, mx:Pulse_Kong, mx:Pulse_Chi","","","【金匮6-8】"
"fj:TianXiongSan_JinKui","天雄散证（虚劳）","lj:Taiyang_Instance","YiJing,MengJiao","","","","【金匮6-8】"
"fj:QiWeiShuQiWan_JinKui","肾气丸证（虚劳）","lj:Shaoyin_Instance","XuLaoYaoTong,ShaoFuJuJi,XiaoBianBuLi","","","","【金匮6-15】"
"fj:DaHuangZheChongWan_JinKui","大黄䗪虫丸证（虚劳）","lj:Jueyin_Instance","JiFuJiaCuo,LiangMuAnHei","","","","【金匮6-18】"
"fj:SheGanMaHuangTang_JinKui","射干麻黄汤证（肺痿肺痈）","lj:Taiyang_Instance","KeNiShangQi,HouZhongShuiJiSheng","","","","【金匮7-6】"
"fj:ZaoJiaoWan_JinKui","皂荚丸证（肺痿肺痈）","lj:Taiyang_Instance","KeNiShangQi,ShiShiTuZhuo,DanZuoBuDeMian","","","","【金匮7-7】"
"fj:HouPoMaHuangTang_JinKui","厚朴麻黄汤证（肺痿肺痈）","lj:Taiyang_Instance","zz:Ke","mx:Pulse_Fu","","","【金匮7-8】"
"fj:ZeQiTang_JinKui","泽漆汤证（肺痿肺痈）","lj:Taiyin_Instance","zz:Ke","mx:Pulse_Chen","","","【金匮7-9】"
"fj:MaiMenDongTang_JinKui","麦门冬汤证（肺痿肺痈）","lj:Yangming_Instance","DaNiShangQi,YanHouBuLi","","","","【金匮7-10】"
"fj:QianJinWeiJingTang_JinKui","葶苈大枣泻肺汤证（肺痈）","lj:Taiyang_Instance","FeiYong,TuNongRuMiZhou","","","","【金匮7-11】"
"fj:YueBiJiaBanXiaTang_JinKui","越婢加半夏汤证（肺胀）","lj:Taiyang_Instance","FeiZhang,MuRuTuoZhuang","mx:Pulse_Fu, mx:Pulse_Da","","","【金匮7-13】"
"fj:XiaoQingLongJiaShiGaoTang_JinKui","小青龙加石膏汤证（肺胀）","lj:Taiyang_Instance","FeiZhang,KeErQiChuan","mx:Pulse_Fu","","","【金匮7-14】"
"fj:BenQiTang_JinKui","奔豚汤证（奔豚气）","lj:ChongRen","BenQi,QiShangChongXiong,FuTong,WangLaiHanRe","","","","【金匮8-2】"
"fj:GuaLouXieBaiBaiJiuTang_JinKui","瓜蒌薤白白酒汤证（胸痹）","lj:Taiyin_Instance","XiongBi,ChuanXiKeChuo,XiongBeiTong","mx:Pulse_Chen, mx:Pulse_Chi, mx:Pulse_GuanShangXiaoJinShu","","","【金匮9-3】"
"fj:GuaLouXieBaiBanXiaTang_JinKui","瓜蒌薤白半夏汤证（胸痹）","lj:Taiyin_Instance","XiongBi,BuDeWo,XinTongCheBei","","","","【金匮9-4】"
"fj:ZhiShiXieBaiGuiZhiTang_JinKui","枳实薤白桂枝汤证（胸痹）","lj:Taiyin_Instance","XiongBi,XinZhongPi,XiongMan,XieXiaNiQiangXin","","","","【金匮9-5】"
"fj:RenShenTang_JinKui","人参汤证（胸痹）","lj:Taiyin_Instance","XiongBi,XinZhongPi,XiongMan,XieXiaNiQiangXin","","","","【金匮9-5】"
"fj:FuLingXingRenGanCaoTang_JinKui","茯苓杏仁甘草汤证（胸痹）","lj:Taiyin_Instance","XiongBi,XiongZhongQiSai,DuanQi","","","","【金匮9-6】"
"fj:JuPiZhiShiShengJiangTang_JinKui","橘皮枳实生姜汤证（胸痹）","lj:Taiyin_Instance","XiongBi,XiongZhongQiSai,DuanQi","","","","【金匮9-6】"
"fj:YiYiFuZiSan_JinKui","薏苡附子散证（胸痹）","lj:Taiyin_Instance","XiongBi,ShiHuanShiJi","","","","【金匮9-7】"
"fj:GuiZhiShengJiangZhiShiTang_JinKui","桂枝生姜枳实汤证（胸痹）","lj:Taiyin_Instance","XiongBi,XinZhongXuanTong","","","","【金匮9-8】"
"fj:WuTouChiShiZhiWan_JinKui","乌头赤石脂丸证（胸痹）","lj:Taiyin_Instance","XiongTongCheBei,CheBeiTongXiong","","","","【金匮9-9】"
"fj:JiuTongWan_JinKui","九痛丸证（胸痹）","lj:Taiyin_Instance","XiongBi,XinXiaTong","","","","【金匮9-10】"
"fj:HouPoQiWuTang_JinKui","厚朴七物汤证（腹满）","lj:Yangming_Instance","zz:FuMan,zz:FaRe","mx:Pulse_Fu, mx:Pulse_Shu","","","【金匮10-9】"
"fj:FuZiJingMiTang_JinKui","附子粳米汤证（腹满）","lj:Taiyin_Instance","FuZhongQieTong,LeiMing,NiMan,OuTu","","","","【金匮10-10】"
"fj:DaJianZhongTang_JinKui","大建中汤证（腹满）","lj:Taiyin_Instance","FuZhongHanTong,OuBuNengShi,FuZhongHan,ShangChongPiQi","","","","【金匮10-14】"
"fj:DaHuangFuZiXiXinTang_JinKui","大黄附子细辛汤证（腹满）","lj:Taiyin_Instance","zz:FuMan,zz:XieXiaPianTong,zz:FaWeiRe","mx:Pulse_Xian, mx:Pulse_Jin","","","【金匮10-15】"
"fj:DaWuTouJian_JinKui","大乌头煎证（寒疝）","lj:Taiyin_Instance","HanShan,RaoQiErTong,ShouZuJueLeng","","","","【金匮10-17】"
"fj:DangGuiShengJiangYangRouTang_JinKui","当归生姜羊肉汤证（寒疝）","lj:Taiyin_Instance","HanShan,FuZhongTong,XieTongLiJi","","","","【金匮10-18】"
"fj:WuTouGuiZhiTang_JinKui","乌头桂枝汤证（寒疝）","lj:Taiyin_Instance","HanShan,FuZhongTong,ShouZuBuRen,NiLeng,ShenTiTengTong","","","","【金匮10-19】"
"fj:ShengJiangBanXiaTang_JinKui","生姜半夏汤证（呕吐）","lj:Taiyin_Instance","XiongZhongSiChuanBuChuan,SiOuBuOu,SiNiBuNi,XinZhongFenFenRan","","","","【金匮11-11】"
"fj:JuPiTang_JinKui","橘皮汤证（呕吐）","lj:Taiyin_Instance","GanOuNi,ShouZuJue","","","","【金匮11-12】"
"fj:JuPiZhuRuTang_JinKui","橘皮竹茹汤证（呕吐）","lj:Taiyin_Instance","NiNi,Xu","","","","【金匮11-13】"
"fj:XiaoBanXiaTang_JinKui","小半夏汤证（呕吐）","lj:Taiyin_Instance","ZhuOu,GuBuDeXia","","","","【金匮11-14】"
"fj:GanJiangBanXiaTang_JinKui","干姜半夏汤证（呕吐）","lj:Taiyin_Instance","GanOu,TuXianMo","","","","【金匮11-15】"
"fj:HuangQinTang_JinKui","黄芩汤证（呕吐）","lj:Shaoyang_Instance","GanOu,XiaLi","","","","【金匮11-16】"
"fj:BanXiaXieXinTang_JinKui","半夏泻心汤证（呕吐）","lj:Shaoyang_Instance","OuErChangMing,XinXiaPi","","","","【金匮11-19】"
"fj:HuangLianTang_JinKui","黄连汤证（呕吐）","lj:Taiyang_Instance","FuTong,YuOu","","","","【金匮11-20】"
"fj:GanJiangHuangQinHuangLianRenShenTang_JinKui","干姜黄芩黄连人参汤证（呕吐）","lj:Jueyin_Instance","ShiRuKouJiTu","","","","【金匮11-22】"
"fj:MuFangJiTang_JinKui","木防己汤证（痰饮）","lj:Taiyin_Instance","zz:KeNi,zz:XinXiaPi,zz:MianSeHei","mx:Pulse_Chen, mx:Pulse_Jin","","","【金匮12-24】"
"fj:MuFangJiQuShiGaoJiaFuLingMangXiaoTang_JinKui","木防己去石膏加茯苓芒硝汤证（痰饮）","lj:Taiyin_Instance","zz:KeNi,zz:XinXiaPi,zz:MianSeHei","mx:Pulse_Chen, mx:Pulse_Jin","","","【金匮12-24】"
"fj:ZeXieTang_JinKui","泽泻汤证（痰饮）","lj:Taiyin_Instance","XinXiaYouZhiYin,zz:TouYun","","","","【金匮12-25】"
"fj:FuLingJianZhongTang","茯苓建中汤证","lj:Taiyin_Instance","XinXiaYin,zz:FuMan","","","","【金匮12-26】"
"fj:GanSuiBanXiaTang_JinKui","甘遂半夏汤证（痰饮）","lj:Taiyin_Instance","LiuYin,XinXiaJianMan","","","","【金匮12-27】"
"fj:ShiZaoTang_JinKui","十枣汤证（悬饮）","lj:Taiyang_Instance","XuanYin,KeXieYinTong","","","","【金匮12-28】"
"fj:DaQingLongTang_JinKui","大青龙汤证（溢饮）","lj:Taiyang_Instance","YiYin,ShenTiTengZhong","","","","【金匮12-29】"
"fj:XiaoQingLongTang_JinKui","小青龙汤证（溢饮）","lj:Taiyang_Instance","YiYin,ShenTiTengZhong","","","","【金匮12-29】"
"fj:LingGuiZhuGanTang_JinKui","苓桂术甘汤证（痰饮）","lj:Taiyin_Instance","XinXiaYouTanYin,XiongXieZhiMan,zz:MuXuan","mx:Pulse_Chen, mx:Pulse_Xian","","","【金匮12-30】"
"fj:ZeXieTang_JinKui","泽泻汤证（支饮）","lj:Taiyin_Instance","KuMaoXuan","","","","【金匮12-31】"
"fj:FuLingGanCaoTang_ZhiYin","茯苓甘草汤证（支饮）","lj:Taiyin_Instance","ZhiYin,KeNi","","","","【金匮12-32】"
"fj:HouPoDaHuangTang","厚朴大黄汤证","lj:Yangming_Instance","ZhiYin,XiongMan","","","","【金匮12-33】"
"fj:XuanFuHuaTang_JinKui","旋覆花汤证（肝着）","lj:Jueyin_Instance","XiongBi,ChangYuTaQiXiongShang","","","","【金匮12-34】"
"fj:ZiCanTang_JinKui","紫参汤证（肺痈）","lj:Jueyin_Instance","ZhiYin,KeNi","","","","【金匮12-35】"
"fj:QianJinWeiJingTang_JinKui","葶苈大枣泻肺汤证（支饮）","lj:Taiyang_Instance","ZhiYin,KeNi","","","","【金匮12-36】"
"fj:XiaoBanXiaTang_ZhiYin","小半夏汤证（支饮）","lj:Taiyin_Instance","ZhiYin,OuTu,BuKe","","","","【金匮12-37】"
"fj:XiaoBanXiaJiaFuLingTang","小半夏加茯苓汤证","lj:Taiyin_Instance","ZhiYin,KeNi,OuTu","","","","【金匮12-38】"
"fj:FangJiJiaoMuZhuLiDaHuangWan","防己椒目葶苈大黄丸证","lj:Taiyin_Instance","FuMan,KouSheGanZao,ChangJianYouShuiQi","","","","【金匮12-39】"
"fj:XiaoBanXiaJiaFuLingTang_JinKui","小半夏加茯苓汤证（水饮）","lj:Taiyin_Instance","GeJianYouShuiQi,OuTuXuanJi","","","","【金匮12-40】"
"fj:WuLingSan_JinKui","五苓散证（水饮）","lj:Taiyang_Instance","QiXiaJi,TuXianMo,TouXuan","","","","【金匮12-41】"
"fj:GanCaoMaHuangTang_LiShui","甘草麻黄汤证（水气病）","lj:Taiyang_Instance","LiShui,ShenMuHuangZhong","mx:Pulse_Chen","","","【金匮14-5】"
"fj:YueBiJiaZhuTang_JinKui","越婢加术汤证（水气病）","lj:Taiyang_Instance","LiShui,ShenMuHuangZhong","mx:Pulse_Chen","","","【金匮14-5】"
"fj:FangJiFuLingTang","防己茯苓汤证","lj:Taiyang_Instance","PiShui,SiZhiZhong,PiFuZhongHongHongDong","","","","【金匮14-6】"
"fj:YueBiTang_JinKui","越婢汤证（水气病）","lj:Taiyang_Instance","FengShui,zz:EFeng,YiShenXiZhong,zz:BuKe,zz:ZiHanChu,zz:WuDaRe","mx:Pulse_Fu","","","【金匮14-7】"
"fj:FuLingGanCaoTang_LiShui","茯苓甘草汤证（水气病）","lj:Taiyin_Instance","ShuiQi,XiaoBianBuLi,Ke","","","","【金匮14-8】"
"fj:MaHuangFuZiGanCaoTang_LiShui","麻黄附子甘草汤证（水气病）","lj:Shaoyin_Instance","ShuiQi,MaiChen","mx:Pulse_Chen","","","【金匮14-9】"
"fj:MaHuangJiaZhuTang_LiShui","麻黄加术汤证（水气病）","lj:Taiyang_Instance","ShuiQi,ShenZhong","mx:Pulse_Fu","","","【金匮14-9】"
"fj:HuangQiShaoYaoGuiZhiTang_JinKui","黄芪芍药桂枝汤证（黄汗）","lj:Taiyang_Instance","HuangHan,ShenTiZhong,Re,Ke","mx:Pulse_Chen","","","【金匮14-11】"
"fj:GuiZhiJiaHuangQiTang_HuangHan","桂枝加黄芪汤证（黄汗）","lj:Taiyang_Instance","HuangHan,YiShangHanChu,YaoKuiChiTong,ShenZhong","","","","【金匮14-12】"
"fj:YinChenHaoTang_JinKui","茵陈蒿汤证（黄疸）","lj:Yangming_Instance","HuangDan,XiaoBianBuLi,FuMan","","","","【金匮15-13】"
"fj:XiaoShiFanShiSan","硝石矾石散证","lj:Jueyin_Instance","NvLao,FuMan,ShenJinHuang,EShangHei,ZuXiaRe","","","","【金匮15-14】"
"fj:ZhiZiDaHuangTang_JinKui","栀子大黄汤证（黄疸）","lj:Yangming_Instance","HuangDan,XinZhongAoNong,ReTong","","","","【金匮15-15】"
"fj:ZhuGaoFaJian_JinKui","猪膏发煎证（黄疸）","lj:Yangming_Instance","HuangDan,JinYeKuZao,SeAnBuMing","","","","【金匮15-16】"
"fj:YinChenWuLingSan","茵陈五苓散证","lj:Taiyang_Instance","HuangDan,XiaoBianBuLi","","","","【金匮15-18】"
"fj:DaHuangXiaoShiTang_JinKui","大黄硝石汤证（黄疸）","lj:Yangming_Instance","HuangDan,FuMan,XiaoBianBuLi,ZiHan","","","","【金匮15-19】"
"fj:MuLiZeXieSan","牡蛎泽泻散证","lj:Taiyin_Instance","DaBingChaHou,YaoYiXiaYouShuiQi","","","","【金匮15-21】"
"fj:HuangTuTang","黄土汤证","lj:Taiyin_Instance","XiaXue,XianBianHouXue,SeAnDan","","","","【金匮16-15】"
"fj:ChiXiaoDouDangGuiSan_JinKui","赤小豆当归散证（便血）","lj:Taiyang_Instance","XiaXue,XianXueHouBian,SeXianHong","","","","【金匮16-16】"
"fj:XieXinTang","泻心汤证（吐血）","lj:Yangming_Instance","TuXue,QiBuZu","","","","【金匮16-17】"
"fj:BaiYeTang","柏叶汤证","lj:Taiyin_Instance","TuXueBuZhi","","","","【金匮16-18】"
"fj:WangBuLiuXingSan","王不留行散证","lj:Taiyang_Instance","JinChuang,ShenYouChuang","","","","【金匮16-19】"
"fj:PaiNongSan","排脓散证","lj:Yangming_Instance","ChuangYong,YouNong","","","","【金匮16-20】"
"fj:PaiNongTang","排脓汤证","lj:Yangming_Instance","ChuangYong,YouNong","","","","【金匮16-20】"
"fj:YiYiFuZiBaiJiangSan_JinKui","薏苡附子败酱散证（肠痈）","lj:Yangming_Instance","ShenTiJiaCuo,FuPiJi,AnZhiRu,RuZhongZhuang","","","","【金匮18-3】"
