symptomIris,pulseIris,tongueIris,fuzhengIris,病证,兼夹证,方剂,组成的药方,加减药物
http://www.tcm-classics.org/jingfang#YanhouBuli_instance;http://www.tcm-classics.org/jingfang#Tunongxue_instance;http://www.tcm-classics.org/jingfang#XieliBuzhi_instance;http://www.tcm-classics.org/jingfang#ShouzuJueni_instance,http://www.tcm-classics.org/jingfang#Chenchimai_instance,,,厥阴病,,麻黄升麻汤,麻黄;升麻;当归;知母;黄芩;葳蕤;芍药;天门冬;桂枝;茯苓;甘草;石膏;白术;干姜,
http://www.tcm-classics.org/jingfang#ShiRuKoujiTu_instance;http://www.tcm-classics.org/jingfang#Xiali_instance,http://www.tcm-classics.org/jingfang#Chenweimai_instance,,,厥阴病,,干姜黄芩黄连人参汤,干姜;黄芩;黄连;人参,
http://www.tcm-classics.org/jingfang#Shentiqiangjiji_instance;http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#Hanchu_instance;http://www.tcm-classics.org/jingfang#Efeng_instance,http://www.tcm-classics.org/jingfang#Chenchimai_instance,,,痉病,,栝蒌桂枝汤,瓜蒌根;桂枝;芍药;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#Shenfanteng_instance;http://www.tcm-classics.org/jingfang#Ehan_instance;http://www.tcm-classics.org/jingfang#Wuhan_instance,http://www.tcm-classics.org/jingfang#Fumai_instance;http://www.tcm-classics.org/jingfang#Jinmai_instance,,,湿病,,麻黄加术汤,麻黄;桂枝;杏仁;甘草;白术,
http://www.tcm-classics.org/jingfang#YishenJinteng_instance;http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#RipuSuoju_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,湿病,,麻杏薏甘汤,麻黄;杏仁;薏苡仁;甘草,
http://www.tcm-classics.org/jingfang#Shenzhong_instance;http://www.tcm-classics.org/jingfang#Hanchu_instance;http://www.tcm-classics.org/jingfang#Efeng_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,湿病,,防己黄芪汤,防己;黄芪;白术;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#ShentiTengfan_instance;http://www.tcm-classics.org/jingfang#BunengZizhuanche_instance,http://www.tcm-classics.org/jingfang#FuxuseMai_instance,,,湿病,,桂枝附子汤,桂枝;附子;生姜;大枣;甘草,
http://www.tcm-classics.org/jingfang#ShentiTengfan_instance;http://www.tcm-classics.org/jingfang#Dabianjian_instance;http://www.tcm-classics.org/jingfang#XiaobianZili_instance,http://www.tcm-classics.org/jingfang#FuxuseMai_instance,,,湿病,,白术附子汤,白术;附子;生姜;大枣;甘草,
http://www.tcm-classics.org/jingfang#GujieTengfan_instance;http://www.tcm-classics.org/jingfang#CheTongBudeQushen_instance;http://www.tcm-classics.org/jingfang#Hanchu_instance;http://www.tcm-classics.org/jingfang#Duanqi_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance;http://www.tcm-classics.org/jingfang#Efeng_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,湿病,,甘草附子汤,甘草;附子;白术;桂枝,
http://www.tcm-classics.org/jingfang#Kouku_instance;http://www.tcm-classics.org/jingfang#XiaobianChi_instance,http://www.tcm-classics.org/jingfang#Weishumai_instance,,,百合病,,百合地黄汤,百合;生地黄,
http://www.tcm-classics.org/jingfang#ZhuangruShanghan_instance;http://www.tcm-classics.org/jingfang#MomoYumian_instance;http://www.tcm-classics.org/jingfang#MuBudeBi_instance;http://www.tcm-classics.org/jingfang#WoqiBuan_instance;http://www.tcm-classics.org/jingfang#BuYuYinshi_instance;http://www.tcm-classics.org/jingfang#EwenShichou_instance;http://www.tcm-classics.org/jingfang#MianmuZhachiZhazaiZhabai_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,狐惑病,,甘草泻心汤,甘草;黄芩;干姜;半夏;大枣;黄连,
http://www.tcm-classics.org/jingfang#MianchiBanzhang_instance;http://www.tcm-classics.org/jingfang#YanhouTong_instance;http://www.tcm-classics.org/jingfang#Tunongxue_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,阴阳毒,,升麻鳖甲汤,升麻;鳖甲;当归;蜀椒;甘草;雄黄,
http://www.tcm-classics.org/jingfang#NueMu_instance;http://www.tcm-classics.org/jingfang#XiexiaZhengjia_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,疟病,,鳖甲煎丸,鳖甲;乌扇;黄芩;柴胡;鼠妇;干姜;大黄;芍药;桂枝;葶苈;石韦;厚朴;牡丹;瞿麦;紫葳;半夏;人参;蟅虫;阿胶;蜂窠;赤硝;蜣螂;桃仁,
http://www.tcm-classics.org/jingfang#ZhuzhijieTengtong_instance;http://www.tcm-classics.org/jingfang#ShentiWanglei_instance;http://www.tcm-classics.org/jingfang#JiaozhongRutuo_instance;http://www.tcm-classics.org/jingfang#Touxuan_instance;http://www.tcm-classics.org/jingfang#Duanqi_instance;http://www.tcm-classics.org/jingfang#WenwenYutu_instance,http://www.tcm-classics.org/jingfang#Chenxianmai_instance,,,历节病,,桂枝芍药知母汤,桂枝;芍药;知母;麻黄;生姜;白术;甘草;防风;附子,
http://www.tcm-classics.org/jingfang#GuanjieTengtong_instance;http://www.tcm-classics.org/jingfang#BukeQushen_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,历节病,,乌头汤,川乌;麻黄;芍药;黄芪;甘草;蜜,
http://www.tcm-classics.org/jingfang#ShentiBuren_instance;http://www.tcm-classics.org/jingfang#RufengBizhuang_instance,http://www.tcm-classics.org/jingfang#WeiseMai_instance,,,血痹病,,黄芪桂枝五物汤,黄芪;桂枝;芍药;生姜;大枣,
http://www.tcm-classics.org/jingfang#ShiJingJia_instance;http://www.tcm-classics.org/jingfang#ShaofuXianji_instance;http://www.tcm-classics.org/jingfang#YintouHan_instance;http://www.tcm-classics.org/jingfang#Muxuan_instance;http://www.tcm-classics.org/jingfang#Faluo_instance,http://www.tcm-classics.org/jingfang#JixuKouchiMai_instance,,,虚劳病,,桂枝加龙骨牡蛎汤,桂枝;芍药;甘草;生姜;大枣;龙骨;牡蛎,
http://www.tcm-classics.org/jingfang#XulaoYaoTong_instance;http://www.tcm-classics.org/jingfang#ShaofuJuji_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Chenruomai_instance,,,虚劳病,,肾气丸,干地黄;山药;山茱萸;泽泻;茯苓;牡丹皮;桂枝;附子,
http://www.tcm-classics.org/jingfang#XulaoXufanBudeMian_instance,http://www.tcm-classics.org/jingfang#Xianximai_instance,,,虚劳病,,酸枣仁汤,酸枣仁;甘草;知母;茯苓;川芎,
http://www.tcm-classics.org/jingfang#WulaoXuji_instance;http://www.tcm-classics.org/jingfang#FumanBunengYinshi_instance;http://www.tcm-classics.org/jingfang#JifuJiacuo_instance;http://www.tcm-classics.org/jingfang#LiangmuAnhei_instance,http://www.tcm-classics.org/jingfang#ChenSemai_instance,,,虚劳病,,大黄蛰虫丸,大黄;黄芩;甘草;桃仁;杏仁;芍药;干地黄;干漆;虻虫;水蛭;蛴螬;蟅虫,
http://www.tcm-classics.org/jingfang#FeiweiTuxianmo_instance;http://www.tcm-classics.org/jingfang#Yiniao_instance;http://www.tcm-classics.org/jingfang#XiaobianShu_instance;http://www.tcm-classics.org/jingfang#BuKe_instance,http://www.tcm-classics.org/jingfang#Xumai_instance,,,肺痿病,,甘草干姜汤,甘草;干姜,
http://www.tcm-classics.org/jingfang#KesangErQi_instance;http://www.tcm-classics.org/jingfang#HouzhongShuijisheng_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,咳嗽上气病,,射干麻黄汤,射干;麻黄;生姜;细辛;紫菀;款冬花;五味子;大枣;半夏,
http://www.tcm-classics.org/jingfang#HuoniShangqi_instance;http://www.tcm-classics.org/jingfang#YanhouBuli_instance,http://www.tcm-classics.org/jingfang#Xumai_instance,,,咳嗽上气病,,麦门冬汤,麦门冬;半夏;人参;甘草;粳米;大枣,
http://www.tcm-classics.org/jingfang#Feiyong_instance;http://www.tcm-classics.org/jingfang#ChuanBudeWo_instance;http://www.tcm-classics.org/jingfang#XiongmanZhang_instance,http://www.tcm-classics.org/jingfang#Xumai_instance,,,肺痈病,,葶苈大枣泻肺汤,葶苈;大枣,
http://www.tcm-classics.org/jingfang#Xiongbi_instance;http://www.tcm-classics.org/jingfang#Chuanxi_instance;http://www.tcm-classics.org/jingfang#Kesuo_instance;http://www.tcm-classics.org/jingfang#Xiongbeitong_instance;http://www.tcm-classics.org/jingfang#Duanqi_instance,http://www.tcm-classics.org/jingfang#Chenchimai_instance,,,胸痹病,,栝蒌薤白白酒汤,瓜蒌实;薤白;白酒,
http://www.tcm-classics.org/jingfang#XiongbiBudeWo_instance;http://www.tcm-classics.org/jingfang#XintongChebei_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,胸痹病,,栝蒌薤白半夏汤,瓜蒌实;薤白;半夏;白酒,
http://www.tcm-classics.org/jingfang#XiongbiXinzhongPi_instance;http://www.tcm-classics.org/jingfang#Xiongman_instance;http://www.tcm-classics.org/jingfang#XiexiaNiqiangxin_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,胸痹病,,枳实薤白桂枝汤,枳实;厚朴;薤白;桂枝;瓜蒌实,
http://www.tcm-classics.org/jingfang#XiongzhongQisai_instance;http://www.tcm-classics.org/jingfang#Duanqi_instance,http://www.tcm-classics.org/jingfang#Chenximai_instance,,,胸痹病,,茯苓杏仁甘草汤,茯苓;杏仁;甘草,
http://www.tcm-classics.org/jingfang#XiongzhongQisai_instance;http://www.tcm-classics.org/jingfang#Duanqi_instance,http://www.tcm-classics.org/jingfang#Chenximai_instance,,,胸痹病,,橘枳姜汤,橘皮;枳实;生姜,
http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#Fare_instance;http://www.tcm-classics.org/jingfang#YinshiRugu_instance,http://www.tcm-classics.org/jingfang#Fushumai_instance,,,腹满病,,厚朴七物汤,厚朴;甘草;大黄;大枣;枳实;桂枝;生姜,
http://www.tcm-classics.org/jingfang#XiexiaPiantong_instance;http://www.tcm-classics.org/jingfang#Fare_instance,http://www.tcm-classics.org/jingfang#Jinxianmai_instance,,,寒疝病,,大黄附子汤,大黄;附子;细辛,
http://www.tcm-classics.org/jingfang#HanShanFutong_instance;http://www.tcm-classics.org/jingfang#XietongLiji_instance,http://www.tcm-classics.org/jingfang#Xianjimai_instance,,,寒疝病,,当归生姜羊肉汤,当归;生姜;羊肉,
http://www.tcm-classics.org/jingfang#Ganzhe_instance;http://www.tcm-classics.org/jingfang#ChangyuDaQiXiongShang_instance;http://www.tcm-classics.org/jingfang#DanYuYinRe_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,肝着病,,旋覆花汤,旋覆花;葱;新绛,
http://www.tcm-classics.org/jingfang#XinxiaNiman_instance;http://www.tcm-classics.org/jingfang#QishangChongxiong_instance;http://www.tcm-classics.org/jingfang#QiZeTouxuan_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,痰饮病,,苓桂术甘汤,茯苓;桂枝;白术;甘草,
http://www.tcm-classics.org/jingfang#XinxiaYouZhiyin_instance;http://www.tcm-classics.org/jingfang#Kumaoxuan_instance,http://www.tcm-classics.org/jingfang#Chenxianmai_instance,,,痰饮病,,泽泻汤,泽泻;白术,
http://www.tcm-classics.org/jingfang#OujiaBenKe_instance;http://www.tcm-classics.org/jingfang#FanBuKe_instance;http://www.tcm-classics.org/jingfang#XinxiaYouZhiyin_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,痰饮病,,小半夏汤,半夏;生姜,
http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#KousheGanzao_instance;http://www.tcm-classics.org/jingfang#ChangjianYouShuiqi_instance,http://www.tcm-classics.org/jingfang#Chenxianmai_instance,,,痰饮病,,己椒苈黄丸,防己;椒目;葶苈;大黄,
http://www.tcm-classics.org/jingfang#FengshuiEfeng_instance;http://www.tcm-classics.org/jingfang#YishenXizhong_instance;http://www.tcm-classics.org/jingfang#XuZihanchu_instance;http://www.tcm-classics.org/jingfang#BuKe_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,水气病,,越婢汤,麻黄;石膏;生姜;甘草;大枣,
http://www.tcm-classics.org/jingfang#Pishui_instance;http://www.tcm-classics.org/jingfang#SizhiZhong_instance;http://www.tcm-classics.org/jingfang#SizhiNienieDong_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,水气病,,防己茯苓汤,防己;黄芪;桂枝;茯苓;甘草,
http://www.tcm-classics.org/jingfang#Huangdan_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,黄疸病,,茵陈五苓散,茵陈蒿;猪苓;泽泻;白术;茯苓;桂枝,
http://www.tcm-classics.org/jingfang#Tuxue_instance;http://www.tcm-classics.org/jingfang#Nuxue_instance;http://www.tcm-classics.org/jingfang#XinqiBuzu_instance,http://www.tcm-classics.org/jingfang#Hongmai_instance,,,吐衄下血病,,泻心汤,大黄;黄连;黄芩,
http://www.tcm-classics.org/jingfang#Xiaxue_instance;http://www.tcm-classics.org/jingfang#XianbianHoubianxue_instance;http://www.tcm-classics.org/jingfang#MianseWeihuang_instance,http://www.tcm-classics.org/jingfang#Ximai_instance,,,下血病,,黄土汤,甘草;干地黄;白术;附子;阿胶;黄芩;灶心黄土,
http://www.tcm-classics.org/jingfang#TuxueBuzhi_instance,http://www.tcm-classics.org/jingfang#Xumai_instance,,,吐衄下血病,,柏叶汤,柏叶;干姜;艾叶,
http://www.tcm-classics.org/jingfang#Yueni_instance,http://www.tcm-classics.org/jingfang#Xumai_instance,,,呕吐哕下利病,,橘皮竹茹汤,橘皮;竹茹;大枣;生姜;甘草;人参,
http://www.tcm-classics.org/jingfang#QiCongShaofuShangChongXin_instance;http://www.tcm-classics.org/jingfang#FazuoYusi_instance;http://www.tcm-classics.org/jingfang#FuhaiZhi_instance,http://www.tcm-classics.org/jingfang#Chenchimai_instance,,,奔豚病,,桂枝加桂汤,桂枝;芍药;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#Fuman_instance;http://www.tcm-classics.org/jingfang#Shitong_instance,http://www.tcm-classics.org/jingfang#Fuhuamai_instance,,,太阴病,,桂枝加芍药汤,桂枝;芍药;甘草;生姜;大枣,大黄
http://www.tcm-classics.org/jingfang#QixiaJi_instance;http://www.tcm-classics.org/jingfang#YuzuoBentun_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,太阳病,,茯苓桂枝甘草大枣汤,茯苓;桂枝;甘草;大枣,
http://www.tcm-classics.org/jingfang#XinxiaNiman_instance;http://www.tcm-classics.org/jingfang#QiShangChongxiong_instance;http://www.tcm-classics.org/jingfang#QiZeTouxuan_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,太阳病,,茯苓桂枝白术甘草汤,茯苓;桂枝;白术;甘草,
http://www.tcm-classics.org/jingfang#Xinji_instance,http://www.tcm-classics.org/jingfang#Jiedaimai_instance,,,太阴病,,炙甘草汤,甘草;生姜;人参;生地黄;桂枝;阿胶;麦门冬;麻仁;大枣,
http://www.tcm-classics.org/jingfang#DaRe_instance;http://www.tcm-classics.org/jingfang#DaKe_instance;http://www.tcm-classics.org/jingfang#DaHan_instance,http://www.tcm-classics.org/jingfang#Hongdamai_instance,http://www.tcm-classics.org/jingfang#SheGanZao_instance,,,阳明病,,白虎加人参汤,石膏;知母;甘草;粳米;人参,
http://www.tcm-classics.org/jingfang#XinzhongAonao_instance;http://www.tcm-classics.org/jingfang#Shaoqi_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,阳明病,,栀子甘草豉汤,栀子;香豉;甘草,
http://www.tcm-classics.org/jingfang#XinzhongAonao_instance;http://www.tcm-classics.org/jingfang#Ou_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,阳明病,,栀子生姜豉汤,栀子;香豉;生姜,
http://www.tcm-classics.org/jingfang#ShenreBuqu_instance;http://www.tcm-classics.org/jingfang#Weifan_instance,http://www.tcm-classics.org/jingfang#Fushumai_instance,,,太阳病,,栀子干姜汤,栀子;干姜,
http://www.tcm-classics.org/jingfang#DabingChaihou_instance;http://www.tcm-classics.org/jingfang#Laofu_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,差后劳复,,枳实栀子豉汤,枳实;栀子;香豉,
http://www.tcm-classics.org/jingfang#YaoYixiaShuiqi_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,差后病,,牡蛎泽泻散,牡蛎;泽泻;蜀漆;葶苈子;商陆根;海藻;瓜蒌根,
http://www.tcm-classics.org/jingfang#XuleiShaoqi_instance;http://www.tcm-classics.org/jingfang#QiniYutu_instance,http://www.tcm-classics.org/jingfang#Xushumai_instance,http://www.tcm-classics.org/jingfang#SheHongShaotai_instance,,差后病,,竹叶石膏汤,竹叶;石膏;半夏;麦门冬;人参;甘草;粳米,
http://www.tcm-classics.org/jingfang#XinxiaPiying_instance;http://www.tcm-classics.org/jingfang#XialiBuzhi_instance;http://www.tcm-classics.org/jingfang#FanzhiBuyu_instance,http://www.tcm-classics.org/jingfang#Chenximai_instance,,,太阳病,,赤石脂禹余粮汤,赤石脂;禹余粮,
http://www.tcm-classics.org/jingfang#XiongzhongPiying_instance;http://www.tcm-classics.org/jingfang#QishangChonghouyan_instance;http://www.tcm-classics.org/jingfang#Budexi_instance,http://www.tcm-classics.org/jingfang#Weifumai_instance,,,太阳病,,瓜蒂散,瓜蒂;赤小豆,
http://www.tcm-classics.org/jingfang#Jiexiong_instance;http://www.tcm-classics.org/jingfang#Xiangqiang_instance;http://www.tcm-classics.org/jingfang#Ruroujingzhuang_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,太阳病,,大陷胸丸,大黄;葶苈子;芒硝;杏仁;甘遂;白蜜,
http://www.tcm-classics.org/jingfang#HanshiJiexiong_instance;http://www.tcm-classics.org/jingfang#WureZheng_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,太阳病,,三物白散,桔梗;巴豆;贝母,
http://www.tcm-classics.org/jingfang#XiongzhongYoure_instance;http://www.tcm-classics.org/jingfang#WeizhongYouXieqi_instance;http://www.tcm-classics.org/jingfang#Futong_instance;http://www.tcm-classics.org/jingfang#YuOu_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,厥阴病,,黄连汤,黄连;甘草;干姜;桂枝;人参;半夏;大枣,
http://www.tcm-classics.org/jingfang#Zixiali_instance;http://www.tcm-classics.org/jingfang#Ou_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,太阳少阳合病,,黄芩加半夏生姜汤,黄芩;芍药;甘草;大枣;半夏;生姜,
http://www.tcm-classics.org/jingfang#Xulao_instance;http://www.tcm-classics.org/jingfang#FengqiBaiji_instance,http://www.tcm-classics.org/jingfang#Xuruomai_instance,,,虚劳病,,薯蓣丸,薯蓣;当归;桂枝;曲;干地黄;豆黄卷;甘草;人参;川芎;芍药;白术;麦门冬;杏仁;柴胡;桔梗;茯苓;阿胶;干姜;白蔹;防风;大枣,
http://www.tcm-classics.org/jingfang#Dafeng_instance;http://www.tcm-classics.org/jingfang#SizhiFanzhong_instance;http://www.tcm-classics.org/jingfang#XinzhongEhanBuzu_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,中风病,,侯氏黑散,菊花;白术;细辛;茯苓;牡蛎;桔梗;防风;人参;矾石;黄芩;当归;干姜;川芎;桂枝,
http://www.tcm-classics.org/jingfang#ChureTanxian_instance,http://www.tcm-classics.org/jingfang#Shumai_instance,,,中风病,,风引汤,大黄;干姜;龙骨;桂枝;甘草;牡蛎;寒水石;滑石;赤石脂;白石脂;紫石英;石膏,
http://www.tcm-classics.org/jingfang#Rukuangzhuang_instance;http://www.tcm-classics.org/jingfang#Wangxing_instance;http://www.tcm-classics.org/jingfang#DuyuBuxiu_instance;http://www.tcm-classics.org/jingfang#Wuhanre_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,中风病,,防己地黄汤,防己;桂枝;防风;甘草;生地黄,
http://www.tcm-classics.org/jingfang#BentunQishangChongxiong_instance;http://www.tcm-classics.org/jingfang#Futong_instance;http://www.tcm-classics.org/jingfang#WanglaiHanre_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,奔豚病,,奔豚汤,甘草;川芎;当归;半夏;黄芩;葛根;芍药;生姜;甘李根白皮,
http://www.tcm-classics.org/jingfang#Xiongbi_instance;http://www.tcm-classics.org/jingfang#XinzhongPiqi_instance;http://www.tcm-classics.org/jingfang#Xiongman_instance;http://www.tcm-classics.org/jingfang#XiexiaNiqiangxin_instance,http://www.tcm-classics.org/jingfang#Chenximai_instance,,,胸痹病,,人参汤,人参;甘草;干姜;白术,
http://www.tcm-classics.org/jingfang#XiongbiHuanji_instance,http://www.tcm-classics.org/jingfang#Chenchimai_instance,,,胸痹病,,薏苡附子散,薏苡仁;附子,
http://www.tcm-classics.org/jingfang#XinzhongPi_instance;http://www.tcm-classics.org/jingfang#Zhuni_instance;http://www.tcm-classics.org/jingfang#Xinxuantong_instance,http://www.tcm-classics.org/jingfang#Chenxianmai_instance,,,胸痹病,,桂枝生姜枳实汤,桂枝;生姜;枳实,
http://www.tcm-classics.org/jingfang#XintongChebei_instance;http://www.tcm-classics.org/jingfang#BeitongChexin_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,胸痹病,,乌头赤石脂丸,蜀椒;乌头;附子;干姜;赤石脂,
http://www.tcm-classics.org/jingfang#TongErBi_instance,http://www.tcm-classics.org/jingfang#Chenshimai_instance,,,腹满病,,厚朴三物汤,厚朴;大黄;枳实,
http://www.tcm-classics.org/jingfang#HanqiJueni_instance,http://www.tcm-classics.org/jingfang#Chenximai_instance,,,寒疝病,,赤丸,茯苓;半夏;乌头;细辛;朱砂,
http://www.tcm-classics.org/jingfang#HanShanRaogiTong_instance;http://www.tcm-classics.org/jingfang#RuofaZeBaihanchu_instance;http://www.tcm-classics.org/jingfang#ShouzuJueleng_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,寒疝病,,大乌头煎,乌头;蜜,
http://www.tcm-classics.org/jingfang#HanShanFutong_instance;http://www.tcm-classics.org/jingfang#Nishen_instance;http://www.tcm-classics.org/jingfang#ShouzuBuren_instance;http://www.tcm-classics.org/jingfang#Shentengtong_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,寒疝病,,乌头桂枝汤,乌头;桂枝;芍药;甘草;生姜;大枣,
http://www.tcm-classics.org/jingfang#Shenzhuo_instance;http://www.tcm-classics.org/jingfang#YaozhongLeng_instance;http://www.tcm-classics.org/jingfang#RuzuoShuizhong_instance;http://www.tcm-classics.org/jingfang#FuzhongRuDaiWuqianqian_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,肾着病,,甘草干姜茯苓白术汤,甘草;干姜;茯苓;白术,
http://www.tcm-classics.org/jingfang#GexianZhiyin_instance;http://www.tcm-classics.org/jingfang#Chuanman_instance;http://www.tcm-classics.org/jingfang#XinxiaPijian_instance;http://www.tcm-classics.org/jingfang#MianseLihei_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,痰饮病,,木防己汤,木防己;石膏;桂枝;人参,
http://www.tcm-classics.org/jingfang#GexianZhiyin_instance;http://www.tcm-classics.org/jingfang#XinxiaPijian_instance,http://www.tcm-classics.org/jingfang#Chenjinmai_instance,,,痰饮病,,木防己去石膏加茯苓芒硝汤,木防己;桂枝;人参;茯苓;芒硝,
http://www.tcm-classics.org/jingfang#ZhiyinXiongman_instance,http://www.tcm-classics.org/jingfang#Chenshimai_instance,,,痰饮病,,厚朴大黄汤,厚朴;大黄;枳实,
http://www.tcm-classics.org/jingfang#ZuOutu_instance;http://www.tcm-classics.org/jingfang#XinxiaPi_instance;http://www.tcm-classics.org/jingfang#GexianYoushui_instance;http://www.tcm-classics.org/jingfang#Xuanji_instance,http://www.tcm-classics.org/jingfang#Xianmai_instance,,,痰饮病,,小半夏加茯苓汤,半夏;生姜;茯苓,
http://www.tcm-classics.org/jingfang#DuotuoKouzao_instance;http://www.tcm-classics.org/jingfang#ShouzuJueni_instance;http://www.tcm-classics.org/jingfang#QiCongXiaofuShangChongxiongyan_instance;http://www.tcm-classics.org/jingfang#XiaobianNan_instance;http://www.tcm-classics.org/jingfang#ShiFuMao_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,痰饮病,,桂苓五味甘草汤,茯苓;桂枝;甘草;五味子,
http://www.tcm-classics.org/jingfang#KeMan_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,痰饮病,,苓甘五味姜辛汤,茯苓;甘草;五味子;干姜;细辛,
http://www.tcm-classics.org/jingfang#KeMan_instance;http://www.tcm-classics.org/jingfang#Ou_instance;http://www.tcm-classics.org/jingfang#Mao_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,痰饮病,,苓甘五味姜辛夏汤,茯苓;甘草;五味子;干姜;细辛;半夏,
http://www.tcm-classics.org/jingfang#Xingzhong_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,痰饮病,,苓甘五味加姜辛半夏杏仁汤,茯苓;甘草;五味子;干姜;细辛;半夏;杏仁,
http://www.tcm-classics.org/jingfang#MianReRuZui_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,痰饮病,,苓甘五味加姜辛半杏大黄汤,茯苓;甘草;五味子;干姜;细辛;半夏;杏仁;大黄,
http://www.tcm-classics.org/jingfang#KeYuYinshuiBuzhi_instance,http://www.tcm-classics.org/jingfang#WeiseMai_instance,,,消渴病,,文蛤散,文蛤,
http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,淋病,,蒲灰散,蒲灰;滑石,
http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,淋病,,滑石白鱼散,滑石;乱发;白鱼,
http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,淋病,,茯苓戎盐汤,茯苓;白术;戎盐,
http://www.tcm-classics.org/jingfang#Lishui_instance;http://www.tcm-classics.org/jingfang#YishenMianmuHuangzhong_instance;http://www.tcm-classics.org/jingfang#XiaobianBuli_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,水气病,,越婢加术汤,麻黄;石膏;生姜;甘草;大枣;白术,
http://www.tcm-classics.org/jingfang#Lishui_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,水气病,,甘草麻黄汤,甘草;麻黄,
http://www.tcm-classics.org/jingfang#ShuizhiWeibing_instance;http://www.tcm-classics.org/jingfang#MaiChenxiao_instance,http://www.tcm-classics.org/jingfang#Chenximai_instance,,,水气病,,麻黄附子汤,麻黄;附子;甘草,
http://www.tcm-classics.org/jingfang#ShuizhiWeibing_instance;http://www.tcm-classics.org/jingfang#MaiFu_instance,http://www.tcm-classics.org/jingfang#Fumai_instance,,,水气病,,杏子汤,杏仁;麻黄;甘草,
http://www.tcm-classics.org/jingfang#Huanghan_instance;http://www.tcm-classics.org/jingfang#ShentiZhong_instance;http://www.tcm-classics.org/jingfang#FareHanchuErKe_instance;http://www.tcm-classics.org/jingfang#HanzhanYi_instance;http://www.tcm-classics.org/jingfang#SeZhengHuangRuBaizhi_instance,http://www.tcm-classics.org/jingfang#Chenmai_instance,,,水气病,,黄芪芍药桂枝苦酒汤,黄芪;芍药;桂枝;苦酒,
